"date,Low_Service,First_High,Second_High,Third_High,Fourth_High,Anacostia_First_High,Anacostia_Second_High,DC_Total"
"Jan-99,30.7,31.2,25.2,24.2,5.7,16.7,6.8,140.5"
"Feb-99,26.4,27.7,22.3,24.9,5.8,15.3,6.5,128.9"
"Mar-99,25.1,29.1,23.7,23,5.7,14.6,6.4,127.6"
"Apr-99,21.5,29.9,25.6,21.7,5.8,14.7,6.2,125.4"
"May-99,20.4,35.7,25.1,23.8,6.4,16,6.6,133.9"
"Jun-99,26.5,39.3,27.5,25.6,7.7,17.9,7.8,152.4"
"Jul-99,31,41.5,29,29.6,8.9,18.8,8.2,167"
"Aug-99,25.4,38.1,30.9,29.2,8.4,16.2,7.6,155.7"
"Sep-99,22,34.1,28.5,21.6,7.7,15.5,6.8,136.3"
"Oct-99,24.3,30.4,26.3,23.9,7.3,15.3,6.6,134.2"
"Nov-99,22.3,29.7,26.1,22.6,6.8,15.7,6.5,129.6"
"Dec-99,20.4,29.4,24.9,20.8,6.5,15.4,6.3,123.6"
"Jan-00,25.6,27.1,22.2,22.6,6.3,15,6.6,125.3"
"Feb-00,22.1,30.7,23.7,23,6.2,14.4,6.8,126.8"
"Mar-00,24.1,31.2,21.8,20.7,6.3,13.1,7.3,124.4"
"Apr-00,24.8,27.6,23.9,23.1,6.7,13.5,6.8,126.3"
"May-00,24.5,29.5,26.7,23.8,6.3,15.1,5.6,131.6"
"Jun-00,26,32.9,28.3,27.2,4.3,15.2,5.7,139.6"
"Jul-00,32,31.9,28.8,30,3.7,13.6,5.3,145.3"
"Aug-00,38.6,33.5,29,28.6,5.2,13,5.1,153"
"Sep-00,30.6,36.6,23.8,26.3,6.7,12.1,5.3,141.4"
"Oct-00,29.5,36.8,23.1,25.7,6.1,10.8,6.6,138.5"
"Nov-00,30.3,32.2,22.8,18.2,5.5,10.6,6.7,126.2"
"Dec-00,32.8,31.1,23.1,17.4,5.1,10.4,6.9,126.8"
"1-Jan,30.1,29.9,22.7,17.3,5.1,13.4,4.4,123"
"1-Feb,19.7,28.8,23.1,22.4,5.3,12.3,4.3,115.8"
"1-Mar,21.5,25.7,23.9,28.6,5.2,12.2,4.1,121.3"
"1-Apr,26.4,26.4,24.1,29.2,5.4,4.6,4.2,120.2"
"1-May,32.6,30.3,23.2,34.8,5.7,5.9,4.5,137"
"1-Jun,32.6,34.1,24.9,29.1,6,6.8,5.3,138.9"
"1-Jul,30.8,35.5,25.5,31,6,7.1,5.1,141.1"
"1-Aug,32.6,36,26.5,27.7,6.1,14.2,5.3,148.3"
"1-Sep,33.6,33.7,25.4,26.2,6.1,6.1,4.7,135.8"
"1-Oct,30.5,31.8,23.8,24.8,5.8,4.6,4.8,126.1"
"1-Nov,29.6,30.6,22.3,26.3,5.7,4.1,5,123.6"
"1-Dec,28.2,27.9,20.8,26.3,5.3,4,5.1,117.6"
"2-Jan,28.4,29.3,22,26.6,5.3,4.8,6,122.4"
"2-Feb,28.4,26.6,21.8,25.7,5.8,1.8,3.8,114"
"2-Mar,27,27.1,21.4,26.9,5.2,0.9,6.4,114.8"
"2-Apr,28.9,31.7,21.4,29,5.7,1.2,6.2,124.2"
"2-May,26.8,28,22.1,27.8,5.6,1.6,6.3,118.2"
"2-Jun,30.6,32.9,23.6,29.8,6.3,4.1,7.1,134.4"
"2-Jul,35.5,33.9,25.6,32.3,6.7,4.2,7.6,145.9"
"2-Aug,41.4,33.2,25.7,33.7,7.1,3.9,7.2,152.1"
"2-Sep,38.1,30.4,25.6,29.9,6.3,2.9,6.8,140"
"2-Oct,36.6,26.1,22.8,28.6,5.9,8.5,8.7,137"
"2-Nov,36.6,21.7,21.6,26.1,5.3,8.2,8.7,128.1"
"2-Dec,29.3,24.3,20.2,25.8,5.2,8.1,8.9,121.8"
"3-Jan,32.1,26.7,20,26.4,5.3,9.9,7.1,127.4"
"3-Feb,29.1,24.5,23.7,26,5.5,10.2,6.4,125.4"
"3-Mar,30,22.8,22.7,23.6,5.6,10.4,6.5,121.6"
"3-Apr,29,23.9,23.3,23.9,5.7,9.6,6.2,121.7"
"3-May,27.3,22,21.5,28,5.5,9.2,6.3,119.8"
"3-Jun,31.3,25.4,24.3,26.8,5.6,10.1,6.6,130.1"
"3-Jul,41.4,26.9,23.7,25.7,5.9,12.5,5.2,141.2"
"3-Aug,37.4,28.5,24.9,25.6,6,13.7,4.9,140.9"
"3-Sep,30.1,27.7,25.3,27.2,5.8,13.1,4.7,133.9"
"3-Oct,32.5,29.6,26.4,15.4,5.9,10.7,6.4,126.9"
"3-Nov,32.4,23.3,27,20.3,5.8,10.5,6.6,125.9"
"3-Dec,22.5,25.5,24.6,20.7,5.6,11.6,7,117.4"
"4-Jan,27,30.9,20,15.4,5.6,11.8,7.7,118.5"
"4-Feb,33.4,27.4,18.2,15.8,5.7,10.9,6.6,118.2"
"4-Mar,33.9,25.8,22.7,16.6,5.7,10.5,6.3,121.7"
"4-Apr,39.8,23.5,21.2,21.1,5.8,10.2,6.3,127.9"
"4-May,37.8,31.5,19.9,22.2,6.3,10,6.8,134.6"
"4-Jun,35.2,36.6,21,22.8,6.7,10.4,6.9,139.5"
"4-Jul,38.5,38.7,19.9,30.6,0.7,11.1,7,146.5"
"4-Aug,31.5,36.8,24.1,29,0.7,11.1,7,140.1"
"4-Sep,29.4,41.1,18.2,25.1,7.5,10.3,6.8,138.4"
"4-Oct,29.1,37,17.4,27.5,0.4,10.7,6.7,128.8"
"4-Nov,26.4,34.7,14.1,26.5,0.7,10.4,6.8,119.6"
"4-Dec,25.7,34.6,12.7,27.2,0.4,10.4,6.6,117.5"
