name,lat,lon,dia,slope,length
2,38.94035224,-77.12175408,78,0.0005,1588
3,38.94543153,-77.12378731,78,0.0005,1938
4,38.95029063,-77.12708096,78,0.0024,2002
5,38.95448667,-77.13009841,78,0.0005,1753
6,38.95820804,-77.13227481,78,0.0005,1490
7,38.96008913,-77.1336381,78,0.0005,787
8,38.96010994,-77.13379993,78,0.0005,47
9,38.96368737,-77.13754422,78,0.0005,1683
10,38.96739411,-77.14222655,78,0.0005,1896
11,38.97019539,-77.14779313,78,0.0034,1883
12,38.97051738,-77.15455851,78,0.0034,1939
13,38.97125724,-77.16126481,78,0.0005,1916
14,38.97245694,-77.16646199,78,0.0005,1541
15,38.97252926,-77.1704221,78,0.0005,1126
16,38.9725293,-77.17055275,78,0.0005,37
17,38.9728809,-77.17706088,72,0.0028,1855
18,38.97288233,-77.17723715,72,0.0028,50
19,38.97218508,-77.18262777,78,0.0018,1554
20,38.97216808,-77.18276074,78,0.0012,38
21,38.97207587,-77.18768545,84,0.0012,1401
22,38.97216952,-77.19462463,84,0.0012,1973
23,38.9751889,-77.20033868,84,0.0005,1962
24,38.97791209,-77.20628323,84,0.0012,1960
25,38.97782696,-77.21342213,84,0.0005,2030
26,38.9787592,-77.221008,84,0.0023,2183
27,38.98167062,-77.22674171,84,0.0015,1945
28,38.99913091,-77.24828988,84,0.0017,8829
29,39.00670864,-77.25468189,78,0.0014,3304
30,39.02612775,-77.27183996,78,0.0011,8590
31,39.03813611,-77.28245348,78,0.0011,5312
32,39.04100851,-77.28788389,54,0.0011,1864
33,39.04350004,-77.29419429,66,0.00145,2009
34,39.04588188,-77.30063742,66,0.00091,2025
35,39.0479237,-77.30680757,66,0.00091,1904
36,39.04962188,-77.31266678,66,0.00091,1775
37,39.05162814,-77.3195008,66,0.00091,2074
38,39.05348018,-77.32411902,72,0.001,1475
39,39.05780673,-77.33494849,72,0.001,3455
40,39.05792693,-77.33681429,72,0.0006,532
41,39.05611758,-77.34210483,72,0.0006,1640
42,39.05469243,-77.34886738,72,0.0006,1989
43,39.05418312,-77.3558618,72,0.0006,1995
44,39.05371397,-77.36226252,72,0.0006,1826
45,39.05424659,-77.36902979,72,0.0006,1932
46,39.05476371,-77.37517318,72,0.0005,1755
47,39.05529846,-77.38154288,72,0.0005,1819
48,39.05570407,-77.38854477,72,0.0005,1994
49,39.05610153,-77.39560599,72,0.0005,2010
50,39.05648691,-77.40261859,72,0.0005,1996
51,39.05672752,-77.40690025,72,0.0005,1219
52,39.05397337,-77.41065395,66,0.00065,1464
53,39.05080255,-77.41454111,66,0.00065,1598
53.8,39.04450216,-77.42226012,66,0.00065,3174
54,39.0400528,-77.42772904,66,0.00065,2245
55,39.03511689,-77.43377135,66,0.0005,2485
56,39.03162914,-77.4346982,54,0.0006,1297
57,39.02839399,-77.43668593,54,0.00069,1307
58,39.02547855,-77.43861863,54,0.00061,1195
59,39.02338276,-77.44079589,48,0.00082,982
60,39.01932117,-77.44467874,48,0.00082,1845
61,39.0190756,-77.44517871,48,0.0005,168
62,39.01691743,-77.44679705,48,0.0005,911
63,39.01449216,-77.44845709,48,0.00113,1001
64,39.01206275,-77.45011947,48,0.00087,1003
65,39.01006819,-77.45196384,48,0.00087,896
66,39.00827418,-77.45425081,48,0.00087,922
67,39.00647769,-77.45653424,48,0.00087,921
68,39.00623025,-77.45980826,48,0.00087,935
68.8,39.00621992,-77.46014959,48,0.00087,97
68.81,39.00550267,-77.46094027,48,0.00087,345
69,39.00435713,-77.46160319,48,0.00087,458
70,39.00185504,-77.46306661,48,0.00087,1002
71,38.9994421,-77.46400299,48,0.00087,938
72,38.99664838,-77.46393069,48,0.00087,1018
73,38.99533936,-77.46433667,42,0.00021,490
73.8,38.99522247,-77.46438842,42,0.00021,45
74,38.99376536,-77.46481104,42,0.00021,544
75,38.99113631,-77.46378768,42,0.001,1001
76,38.98850755,-77.46274993,42,0.001,1002
77,38.98733638,-77.46185029,42,0.001,497
78,38.98600527,-77.46070564,42,0.001,584
79,38.98456097,-77.4596935,42,0.001,600
80,38.98334679,-77.45884372,42,0.001,504
80.2,38.98296318,-77.45715303,24,0.0013,184
80.8,38.98269814,-77.45542113,24,0.0013,500
80.81,38.98266046,-77.45450541,24,0.0013,502
80.82,38.98265492,-77.4529172,24,0.0013,261
80.83,38.98257751,-77.45227808,24,0.0013,451
81,38.98190439,-77.45783399,42,0.0007,599
82,38.98069216,-77.45698571,42,0.0007,503
83,38.9792474,-77.45597318,42,0.0011,600
84,38.97838441,-77.45470199,36,0.0011,479
85,38.97765487,-77.453199,36,0.0011,503
86,38.976924,-77.45169712,36,0.0011,503
87,38.97635668,-77.45052964,36,0.0011,391
88,38.97562633,-77.44902698,36,0.0011,503
89,38.97489563,-77.4475252,36,0.0011,503
90,38.97387669,-77.44641815,36,0.0011,487
91,38.97269577,-77.44549705,36,0.0011,504
92,38.971517,-77.44457568,36,0.0011,503
93,38.97037549,-77.44368456,30,0.00609,487
94,38.9695343,-77.44302823,30,0.00609,359
95,38.96887969,-77.44222299,30,0.00609,331
96,38.96813546,-77.44074511,36,0.001,500
97,38.96730257,-77.43934711,36,0.001,500
98,38.9668721,-77.43767389,36,0.001,501
99,38.96641253,-77.43602416,36,0.001,498
100,38.9659176,-77.43442936,36,0.001,488
101,38.96558487,-77.43268394,36,0.001,511
102,38.96513653,-77.43126193,36,0.001,436
103,38.96495139,-77.43069352,36,0.001,175
103.2,38.96510773,-77.4302517,24,0.0013,271
103.8,38.96589901,-77.42909087,24,0.0013,138
103.81,38.96635897,-77.42841531,24,0.0013,423
104,38.96404408,-77.43026329,30,0.0018,352
105,38.96286125,-77.43016239,30,0.0018,432
106,38.96134359,-77.43022272,30,0.0018,553
107,38.96057014,-77.43039805,30,0.0012,16
107.2,38.96060989,-77.43037783,30,0.00658,204
107.8,38.95834552,-77.42939936,30,0.00693,271
107.82,38.95771071,-77.42853494,30,0.00319,859
107.83,38.95730987,-77.42803148,30,0.00319,337
108,38.95998404,-77.43167188,30,0.0012,420
109,38.9590016,-77.4318876,30,0.0012,363
110,38.95802278,-77.4319043,30,0.0012,357
111,38.95664903,-77.4319296,30,0.0012,500
112,38.95527283,-77.43195383,30,0.0012,501
113,38.95389597,-77.43197811,30,0.0012,502
114,38.95252042,-77.43200335,30,0.0012,2150
115,38.95126469,-77.43205782,30,0.0012,959
116,38.94989346,-77.43158001,30,0.0012,518
117,38.94891318,-77.43035359,30,0.0012,499
118.2,38.94808235,-77.42917647,30,0.0012,451
200,39.00640502,-77.25484187,54,0.001,120
201,39.00271727,-77.25649449,54,0.001,1423
202,39.00033324,-77.25665794,54,0.001,870
203,38.9978364,-77.25601231,54,0.0017,928
204,38.99508856,-77.25526996,54,0.0017,1023
205,38.99311412,-77.25434873,54,0.0017,765
206,38.99003973,-77.25318385,54,0.0017,1168
207,38.98754963,-77.25053553,54,0.0017,1179
208,38.98567736,-77.25055458,54,0.0017,682
208.2,38.97834872,-77.24951198,66,0.0006,2686
209,38.97793379,-77.24945391,66,0.0006,152
210,38.97612642,-77.25346715,54,0.0006,1317
211,38.97513462,-77.25552838,54,0.0009,688
212,38.97420075,-77.25995526,54,0.0009,1304
213,38.97234884,-77.26370048,54,0.0009,1260
214,38.97165546,-77.2669044,48,0.0017,945
215,38.97179347,-77.26994824,48,0.0017,867
216,38.97129122,-77.27432257,48,0.0017,1257
217,38.97085007,-77.27634606,48,0.003,597
218,38.97070097,-77.27839608,42,0.0026,585
219,38.97034179,-77.28014232,42,0.0026,513
220,38.96926061,-77.28090213,42,0.0026,449
221,38.96886649,-77.28336782,42,0.0026,716
222,38.96818331,-77.28528219,42,0.0026,598
223,38.96756884,-77.2866277,42,0.0026,443
224,38.96656911,-77.28778956,42,0.0026,492
300,39.05229173,-77.3628545,42,0.0063,545
301,39.04952544,-77.36283635,48,0.0008,1008
302,39.04755251,-77.36372218,48,0.0008,761
303,39.04620418,-77.36432672,42,0.0016,520
304,39.04445459,-77.36401419,42,0.0016,643
305,39.04295095,-77.36320794,42,0.0014,594
306,39.04272846,-77.36304635,42,0.0014,93
307,39.03937902,-77.36335594,42,0.0014,1223
308,39.03788176,-77.3643407,42,0.0014,613
309,39.03603036,-77.36464689,42,0.0014,680
310,39.03408781,-77.36458114,42,0.0014,708
311,39.03252773,-77.36397939,42,0.0014,593
312,39.0313844,-77.36316047,42,0.0014,477
313,39.03009846,-77.36430947,42,0.0014,571
314,39.02973624,-77.36583797,36,0.003,454
315,39.02907023,-77.36737013,36,0.003,498
316,39.02769041,-77.36838286,36,0.003,579
317,39.02638577,-77.36837645,36,0.0026,475
318,39.02513775,-77.36837014,36,0.0026,455
319,39.02368507,-77.36913153,36,0.0026,572
320,39.02236531,-77.36885695,36,0.0026,487
321,39.02086714,-77.36857363,36,0.0026,552
322,39.01920854,-77.36829834,36,0.0026,609
323,39.01783534,-77.36845442,36,0.0024,502
324,39.01626851,-77.36901715,36,0.0024,593
325,39.01479236,-77.36948174,36,0.0024,554
400,39.045697,-77.27547184,39,0.00085,3393
401,39.04517324,-77.27337218,39,0.00085,626
402,39.04366706,-77.27036394,39,0.00085,1015
403,39.04227749,-77.2675823,39,0.00085,938
404,39.04387752,-77.26521705,54,0.002,889
405,39.04387752,-77.26521705,36,0.0012,492
406,39.04330666,-77.26200219,36,0.0012,448
407,39.04378753,-77.26043105,36,0.0012,479
408,39.04816854,-77.28041059,66,0.0008,1667
409,39.05177809,-77.28514621,60,0.0075,1881
410,39.05501608,-77.29051276,60,0.0075,1927
411,39.05818961,-77.29502212,60,0.0005,1725
412,39.05932752,-77.29870767,54,0.0005,1126
413,39.0598125,-77.30266968,54,0.0005,1139
414,39.06002204,-77.30670566,54,0.0005,1149
417,39.05915008,-77.31198189,54,0.0005,1531
418,39.06251204,-77.31840091,54,0.00144,2196
419,39.06498571,-77.32049306,48,0.00113,1079
420,39.0667761,-77.32279145,48,0.00113,923
421,39.06854423,-77.32556848,48,0.00113,1018
422,39.06880506,-77.32880982,48,0.00113,925
423,39.0686511,-77.33253579,48,0.00113,1059
424,39.06905681,-77.33602553,48,0.00113,1002
425,39.0694864,-77.33974068,48,0.00113,1066
